Campaign,Coupon Title,Coupon Code, Start Date,End Date, Landing Page 
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Festoss-set-of-3-handbag-combo---black-handbag--multicolor-clutch--amp--black-sling-pouch%2F16051498%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fbuy-1-lancer-sports-shoes--amp--get-1-pure-play-shoes-free%2F16321920%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fmini-sewing-machine-portable-4-in-1-with-adapter--amp--pedal%2F14886691%3Fsc_cid%3Dsearch_sewing%2520machine%26sc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fusb-spy-pen-camera---expandable-upto-16gb%2F16382775%3Fsc_cid%3Dsearch_sewing%2520machine%7Csearch_spy%2520pen%26sc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fnew-complete-car-maintenance-combo%2F16287174%3Fsc_cid%3Dsearch_sewing%2520machinefixcat_browse%7Csearch_maintenance%2520combo%26sc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fcombo-of-air-compressor--car-jack--car-tyre-repair-kit-and-multipurpose-tool%2F16287582%3Fsc_cid%3Dalpha-radios%26sc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fjbl-t26c-on-ear-headphone-black%2F17051059%3Fsc_cid%3Dalpha-radios%7Csearch_JBL%2520earphones%26sc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fmshop.rediff.com%2Fproduct%2F99-store%2FBuy-2-Get-2-Free-snaptic-Led-Sports-Digital-Jelly-Watch%2F15986210%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2F11925782%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2F13934207%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshop.rediff.com%2Fproduct%2F16895564%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshop.rediff.com%2Fproduct%2F16895590%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2F16911878%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2F16911882%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Freebok-gym-duffle-bag-and-reebok-sunglasses-with-free-reebok-watch%2F16031099%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshop.rediff.com%2Fproduct%2F15967042%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshop.rediff.com%2Fproduct%2F16270758%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshop.rediff.com%2Fproduct%2F13496960%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Ftowel-town-ecospun-420-gsm-set-of-10-pcs-cotton-face-towel-assorted-color%2F16975172%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2F14054382%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2F15118469%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fkia-fashions-bollywood-replica-heena-khan-red-designer-saree%2F16403874%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fbollywood-replica-madhuri-dixit-pista-green-colored-saree%2F14712216%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fdesigner-weightless-printed-cotton-kurtis-combo-pack-of-4-kurtis-combo-k87%2F16906785%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Ffasense-women-6-pcs-set-nightwear-set-nighty-robe-top-barmuda-sleepwear%2F11903257%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fclovia-5-tier-babydoll-in-red--ns0317p04%2F15569805%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fbuy-1-printed-polar-fleece-jacket-for-women--amp--get-1-plain-polar-fleece-jacket-for-men-free%2F16349634%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Festoss-set-of-3-handbag-combo---black-handbag--multicolor-clutch--amp--black-sling-pouch%2F16051498%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fbuy-1-lancer-sports-shoes--amp--get-1-pure-play-shoes-free%2F16321920%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fmini-sewing-machine-portable-4-in-1-with-adapter--amp--pedal%2F14886691%3Fsc_cid%3Dsearch_sewing%2520machine%26sc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fusb-spy-pen-camera---expandable-upto-16gb%2F16382775%3Fsc_cid%3Dsearch_sewing%2520machine%7Csearch_spy%2520pen%26sc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fnew-complete-car-maintenance-combo%2F16287174%3Fsc_cid%3Dsearch_sewing%2520machinefixcat_browse%7Csearch_maintenance%2520combo%26sc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fcombo-of-air-compressor--car-jack--car-tyre-repair-kit-and-multipurpose-tool%2F16287582%3Fsc_cid%3Dalpha-radios%26sc_cid%3Dpayoom
